workshop_type,slug_auto,learner_id,skill_data_raw,skill_write_program,skill_search_answers,skill_overcome_problem,skill_confidence_programming,skill_reproducibility_programming,skill_efficient_programming
dc,Swansea-2018-09-20,2eiwes,Agree,Strongly disagree,Agree,Neutral,Strongly disagree,Agree,Agree
swc,2018-09-24-koper,NA,NA,NA,NA,NA,NA,NA,NA
dc,2018-09-10-jax,1dedou,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
dc,2018-09-13-edinburgh,1edstd,Agree,Disagree,Agree,Neutral,Disagree,Agree,Agree
swc,2018-09-22-UTA,2daman,Agree,Disagree,Agree,Agree,Neutral,Neutral,Neutral
dc,Swansea-2018-09-20,3edbry,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Agree
swc,2018-09-24-CERTH,1pimen,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree
swc,2018-09-22-UTA,0visum,NA,NA,NA,NA,NA,NA,NA
swc,2018-09-22-UTA,5lilam,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree
dc,2018-09-13-edinburgh,NA,NA,NA,NA,NA,NA,NA,NA
dc,2018-09-10-jax,2defir,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
dc,2018-09-12-new_england_tribes_USGS,1spave,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree
swc,2018-09-24-Imperial,NA,NA,NA,NA,NA,NA,NA,NA
swc,2018-09-24-koper,1bhsar,Agree,Agree,Agree,Neutral,Disagree,Agree,Neutral
swc,2018-09-24-koper,1krpod,Agree,Neutral,Neutral,Agree,Disagree,Agree,Agree
swc,2018-10-01-UW-swc,1cleas,Strongly agree,Disagree,Neutral,Disagree,Strongly disagree,Agree,Strongly agree
swc,2018-10-01-UW-swc,NA,NA,NA,NA,NA,NA,NA,NA
dc,2018-09-27-ukzn,6duvic,Agree,Disagree,Neutral,Disagree,Neutral,Agree,Agree
swc,2018-09-22-UTA,2sesad,Agree,Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Neutral
dc,2018-09-27-ukzn,2duplu,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree
dc,2018-09-27-ukzn,2dufir,Strongly agree,Disagree,Neutral,Neutral,Agree,Strongly agree,Strongly agree
swc,2018-10-01-UW-swc,1jafor,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree
dc,2018-09-10-utoronto,3racar,NA,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree
swc,2018-09-24-Imperial,0tiwoo,Agree,Strongly agree,Neutral,Neutral,Disagree,Neutral,Agree
dc,2018-09-13-edinburgh,2kopal,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree
swc,2018-09-22-UTA,1ratul,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree
swc,2018-09-24-CERTH,2larig,Strongly agree,Neutral,Agree,Disagree,Disagree,Strongly agree,Strongly agree
dc,2018-09-13-edinburgh,1bastl,Agree,Disagree,Agree,Neutral,Strongly disagree,Agree,Agree
dc,2018-09-10-jax,0jcmar,Strongly agree,Disagree,Strongly agree,Agree,Agree,Agree,Agree
